expnum,object,"""ra""","""dec""",inttime,mjdate,filter,runid
1421423,ll10-1-1,26.769366058483683,14.393252695171554,320.12323200000003,55858.512632,r.MP9601,11BC22
1421424,ll10+0-1,27.783367185557776,14.393224105817339,320.12928,55858.5169246,r.MP9601,11BC22
1421425,ll10+1-1,28.79737157126924,14.39325308254523,320.130144,55858.5211894,r.MP9601,11BC22
1421426,ll10+2-1,29.8114196266796,14.393224017038094,320.131872,55858.52545,r.MP9601,11BC22
1421565,ll10+2+1,29.8114167437304,15.373254230076926,320.093856,55859.3139189,r.MP9601,11BC22
1421566,ll10+1+1,28.797368257176892,15.373223891754549,320.118048,55859.3181779,r.MP9601,11BC22
1421567,ll10+1+1,28.79736723365604,15.373223736747475,320.11891199999997,55859.3233159,r.MP9601,11BC22
1421568,ll10+0+1,27.783369593853628,15.37325332737038,320.135328,55859.3276579,r.MP9601,11BC22
1421569,ll10-1+1,26.76936829376928,15.373223093428921,320.114592,55859.3319217,r.MP9601,11BC22
1421570,ll10-2+1,25.755329775584894,15.373223571283603,320.13273599999997,55859.3361831,r.MP9601,11BC22
1421571,ll10-2+2,25.755330293282555,16.353253304712908,320.131872,55859.3404436,r.MP9601,11BC22
1421572,ll10-1+2,26.769368235110953,16.353203730344504,320.137056,55859.344705,r.MP9601,11BC22
1421573,ll10+0+2,27.783367626434956,16.353253313425398,320.130144,55859.3489667,r.MP9601,11BC22
1421574,ll10+1+2,28.797366712312314,16.353223923309155,320.1336,55859.3533195,r.MP9601,11BC22
1421575,ll10+2+2,29.81141827848938,16.35322374382686,320.13273599999997,55859.3575814,r.MP9601,11BC22
1421576,ll10+2+1,29.811420911574967,15.373202560948911,320.135328,55859.3623809,r.MP9601,11BC22
1421577,ll10+1+1,28.797368874607706,15.373222733177712,320.130144,55859.3666408,r.MP9601,11BC22
1421578,ll10+0+1,27.783369703078908,15.373223813994997,320.12582399999997,55859.370903,r.MP9601,11BC22
1421579,ll10+0+1,27.78336824276441,15.37320385552951,320.124096,55859.3761008,r.MP9601,11BC22
1421580,ll10-1+1,26.769368882788758,15.373224107534698,320.12582399999997,55859.3807249,r.MP9601,11BC22
1421581,ll10-2+1,25.755327916023603,15.37322361059411,320.111136,55859.3849857,r.MP9601,11BC22
1421582,ll10-2+2,25.75532951392012,16.353223017031137,320.128416,55859.3893085,r.MP9601,11BC22
1421583,ll10-1+2,26.769367634685757,16.353203629047485,320.11891199999997,55859.3944925,r.MP9601,11BC22
1421584,ll10+0+2,27.78336841870212,16.353203158564213,320.12064,55859.3988271,r.MP9601,11BC22
1421585,ll10-1+2,26.7693684080942,16.353203692593592,320.13792,55859.4033818,r.MP9601,11BC22
1421586,ll10+1+2,28.79732721469632,16.353223583171836,320.131008,55859.4077678,r.MP9601,11BC22
1421587,ll10+2+2,29.81141769922789,16.35322306036352,320.124096,55859.4120281,r.MP9601,11BC22
1421588,ll10+2+1,29.81141678168297,15.373254557910501,320.13273599999997,55859.4168597,r.MP9601,11BC22
